SessionID,FirebaseID,Timestamp,Version,Age,Gender,Occupation,Education,Major,Year,GPA,Spiritual_Practice,Gita_Familiarity,Feedback,Score_Sattva_Raw,Score_Rajas_Raw,Score_Tamas_Raw,Dominant_Guna,BFI_BF1,BFI_BF1_Text,BFI_BFI1,BFI_BFI1_Text,Duration_BFI_BF1,Duration_BFI_BFI1,BFI_BF2,BFI_BF2_Text,BFI_BFI2,BFI_BFI2_Text,Duration_BFI_BF2,Duration_BFI_BFI2,BFI_BF3,BFI_BF3_Text,BFI_BFI3,BFI_BFI3_Text,Duration_BFI_BF3,Duration_BFI_BFI3,BFI_BF4,BFI_BF4_Text,BFI_BFI4,BFI_BFI4_Text,Duration_BFI_BF4,Duration_BFI_BFI4,BFI_BF5,BFI_BF5_Text,BFI_BFI5,BFI_BFI5_Text,Duration_BFI_BF5,Duration_BFI_BFI5,BFI_BF6,BFI_BF6_Text,BFI_BFI6,BFI_BFI6_Text,Duration_BFI_BF6,Duration_BFI_BFI6,BFI_BF7,BFI_BF7_Text,BFI_BFI7,BFI_BFI7_Text,Duration_BFI_BF7,Duration_BFI_BFI7,BFI_BF8,BFI_BF8_Text,BFI_BFI8,BFI_BFI8_Text,Duration_BFI_BF8,Duration_BFI_BFI8,BFI_BF9,BFI_BF9_Text,BFI_BFI9,BFI_BFI9_Text,Duration_BFI_BF9,Duration_BFI_BFI9,BFI_BF10,BFI_BF10_Text,BFI_BFI10,BFI_BFI10_Text,Duration_BFI_BF10,Duration_BFI_BFI10,BFI_BFI11,BFI_BFI11_Text,Duration_BFI_BFI11,BFI_BFI12,BFI_BFI12_Text,Duration_BFI_BFI12,BFI_BFI13,BFI_BFI13_Text,Duration_BFI_BFI13,BFI_BFI14,BFI_BFI14_Text,Duration_BFI_BFI14,BFI_BFI15,BFI_BFI15_Text,Duration_BFI_BFI15,BFI_BFI16,BFI_BFI16_Text,Duration_BFI_BFI16,BFI_BFI17,BFI_BFI17_Text,Duration_BFI_BFI17,BFI_BFI18,BFI_BFI18_Text,Duration_BFI_BFI18,BFI_BFI19,BFI_BFI19_Text,Duration_BFI_BFI19,BFI_BFI20,BFI_BFI20_Text,Duration_BFI_BFI20,BFI_BFI21,BFI_BFI21_Text,Duration_BFI_BFI21,BFI_BFI22,BFI_BFI22_Text,Duration_BFI_BFI22,BFI_BFI23,BFI_BFI23_Text,Duration_BFI_BFI23,BFI_BFI24,BFI_BFI24_Text,Duration_BFI_BFI24,BFI_BFI25,BFI_BFI25_Text,Duration_BFI_BFI25,BFI_BFI26,BFI_BFI26_Text,Duration_BFI_BFI26,BFI_BFI27,BFI_BFI27_Text,Duration_BFI_BFI27,BFI_BFI28,BFI_BFI28_Text,Duration_BFI_BFI28,BFI_BFI29,BFI_BFI29_Text,Duration_BFI_BFI29,BFI_BFI30,BFI_BFI30_Text,Duration_BFI_BFI30,BFI_BFI31,BFI_BFI31_Text,Duration_BFI_BFI31,BFI_BFI32,BFI_BFI32_Text,Duration_BFI_BFI32,BFI_BFI33,BFI_BFI33_Text,Duration_BFI_BFI33,BFI_BFI34,BFI_BFI34_Text,Duration_BFI_BFI34,BFI_BFI35,BFI_BFI35_Text,Duration_BFI_BFI35,BFI_BFI36,BFI_BFI36_Text,Duration_BFI_BFI36,BFI_BFI37,BFI_BFI37_Text,Duration_BFI_BFI37,BFI_BFI38,BFI_BFI38_Text,Duration_BFI_BFI38,BFI_BFI39,BFI_BFI39_Text,Duration_BFI_BFI39,BFI_BFI40,BFI_BFI40_Text,Duration_BFI_BFI40,BFI_BFI41,BFI_BFI41_Text,Duration_BFI_BFI41,BFI_BFI42,BFI_BFI42_Text,Duration_BFI_BFI42,BFI_BFI43,BFI_BFI43_Text,Duration_BFI_BFI43,BFI_BFI44,BFI_BFI44_Text,Duration_BFI_BFI44,Score_BigFive_Neuroticism,Score_BigFive_Conscientiousness,Score_BigFive_Extraversion,Score_BigFive_Agreeableness,Score_BigFive_Openness,Guna_Changes,Tab_Switches
f42a6929-5c30-4684-9577-c2ad1a435ccd,06wKiQQUGJlS8qOILMti,2026-02-13T10:34:13.001Z,original-gpi,19,Male,Student,UG (Pursuing),Earth Sciences,1,7,Regular,Very Familiar,,6.00,2.44,1.86,Sattva,,,1.0,Is talkative,,21540.0,,,1.0,Tends to find fault with others,,45265.0,,,5.0,Does a thorough job,,49784.0,,,1.0,"Is depressed, blue",,54294.0,,,5.0,"Is original, comes up with new ideas",,59285.0,,,5.0,Is reserved,,60795.0,,,5.0,Is helpful and unselfish with others,,68494.0,,,2.0,Can be somewhat careless,,74789.0,,,5.0,"Is relaxed, handles stress well",,78871.0,,,4.0,Is curious about many different things,,83486.0,4.0,Is full of energy,87298.0,1.0,Starts quarrels with others,91664.0,4.0,Is a reliable worker,103158.0,4.0,Can be tense,111882.0,4.0,"Is ingenious, a deep thinker",116566.0,3.0,Generates a lot of enthusiasm,120181.0,5.0,Has a forgiving nature,124273.0,1.0,Tends to be disorganized,472826.0,4.0,Worries a lot,132505.0,4.0,Has an active imagination,164536.0,5.0,Tends to be quiet,160205.0,5.0,Is generally trusting,171612.0,1.0,Tends to be lazy,176743.0,5.0,"Is emotionally stable, not easily upset",190820.0,4.0,Is inventive,193074.0,3.0,Has an assertive personality,197397.0,2.0,Can be cold and aloof,220328.0,5.0,Perseveres until the task is finished,227678.0,2.0,Can be moody,230099.0,4.0,"Values artistic, aesthetic experiences",244322.0,3.0,"Is sometimes shy, inhibited",256387.0,5.0,Is considerate and kind to almost everyone,289035.0,4.0,Does things efficiently,295973.0,5.0,Remains calm in tense situations,299184.0,4.0,Prefers work that is routine,309426.0,4.0,"Is outgoing, sociable",314748.0,3.0,Is sometimes rude to others,322134.0,5.0,Makes plans and follows through with them,338651.0,1.0,Gets nervous easily,355800.0,5.0,"Likes to reflect, play with ideas",403030.0,5.0,Has few artistic interests,398952.0,5.0,Likes to cooperate with others,457389.0,3.0,Is easily distracted,413756.0,5.0,"Is sophisticated in art, music, or literature",461849.0,0.0,0.0,0.0,0.0,0.0,59,2
ad8f33fb-dcca-4194-88b9-0ed099ba8022,0RoL3GFCNQDh0yg8ZdMc,2026-02-14T08:40:44.216Z,original-gpi,14,Female,Student,Other,,,,Rarely,Very Familiar,,4.56,3.84,3.25,Sattva,,,2.0,Is talkative,,16194.0,,,1.0,Tends to find fault with others,,23836.0,,,3.0,Does a thorough job,,26898.0,,,3.0,"Is depressed, blue",,31979.0,,,4.0,"Is original, comes up with new ideas",,142830.0,,,4.0,Is reserved,,34416.0,,,4.0,Is helpful and unselfish with others,,37174.0,,,2.0,Can be somewhat careless,,40382.0,,,2.0,"Is relaxed, handles stress well",,43955.0,,,4.0,Is curious about many different things,,46864.0,3.0,Is full of energy,49849.0,3.0,Starts quarrels with others,53288.0,3.0,Is a reliable worker,55626.0,4.0,Can be tense,58867.0,4.0,"Is ingenious, a deep thinker",61047.0,4.0,Generates a lot of enthusiasm,64317.0,4.0,Has a forgiving nature,67399.0,2.0,Tends to be disorganized,71334.0,2.0,Worries a lot,73343.0,3.0,Has an active imagination,151248.0,3.0,Tends to be quiet,80150.0,1.0,Is generally trusting,83600.0,3.0,Tends to be lazy,88070.0,2.0,"Is emotionally stable, not easily upset",92796.0,3.0,Is inventive,100774.0,3.0,Has an assertive personality,101203.0,3.0,Can be cold and aloof,103303.0,3.0,Perseveres until the task is finished,105039.0,3.0,Can be moody,105521.0,4.0,"Values artistic, aesthetic experiences",109824.0,4.0,"Is sometimes shy, inhibited",112345.0,3.0,Is considerate and kind to almost everyone,115663.0,3.0,Does things efficiently,116388.0,3.0,Remains calm in tense situations,117195.0,3.0,Prefers work that is routine,118510.0,3.0,"Is outgoing, sociable",118978.0,3.0,Is sometimes rude to others,119484.0,3.0,Makes plans and follows through with them,121194.0,3.0,Gets nervous easily,121672.0,3.0,"Likes to reflect, play with ideas",124870.0,4.0,Has few artistic interests,133898.0,3.0,Likes to cooperate with others,125529.0,2.0,Is easily distracted,127276.0,5.0,"Is sophisticated in art, music, or literature",130426.0,3.3,3.3,2.8,3.2,3.5,94,0
649977fc-284c-42f5-bce2-9da924cd3312,2294LduZO3kuXrenuBaq,2026-02-15T07:08:59.913Z,original-gpi,15,Female,Student,Other,Science ,,85,Regular,Somewhat,,5.85,3.44,1.39,Sattva,,,4.0,Is talkative,,15991.0,,,3.0,Tends to find fault with others,,21053.0,,,3.0,Does a thorough job,,23120.0,,,2.0,"Is depressed, blue",,24223.0,,,4.0,"Is original, comes up with new ideas",,27295.0,,,4.0,Is reserved,,28907.0,,,4.0,Is helpful and unselfish with others,,30436.0,,,3.0,Can be somewhat careless,,35050.0,,,5.0,"Is relaxed, handles stress well",,36910.0,,,5.0,Is curious about many different things,,38569.0,5.0,Is full of energy,40180.0,1.0,Starts quarrels with others,43057.0,3.0,Is a reliable worker,45222.0,3.0,Can be tense,46932.0,3.0,"Is ingenious, a deep thinker",48049.0,5.0,Generates a lot of enthusiasm,50283.0,5.0,Has a forgiving nature,51453.0,3.0,Tends to be disorganized,52503.0,3.0,Worries a lot,54277.0,4.0,Has an active imagination,56399.0,5.0,Tends to be quiet,58227.0,5.0,Is generally trusting,59683.0,3.0,Tends to be lazy,60804.0,5.0,"Is emotionally stable, not easily upset",62070.0,3.0,Is inventive,63493.0,3.0,Has an assertive personality,64847.0,3.0,Can be cold and aloof,66029.0,3.0,Perseveres until the task is finished,67715.0,3.0,Can be moody,69961.0,2.0,"Values artistic, aesthetic experiences",71701.0,4.0,"Is sometimes shy, inhibited",74542.0,4.0,Is considerate and kind to almost everyone,76430.0,3.0,Does things efficiently,78108.0,5.0,Remains calm in tense situations,80587.0,5.0,Prefers work that is routine,84365.0,2.0,"Is outgoing, sociable",86981.0,1.0,Is sometimes rude to others,90266.0,3.0,Makes plans and follows through with them,93397.0,3.0,Gets nervous easily,94877.0,3.0,"Likes to reflect, play with ideas",96702.0,4.0,Has few artistic interests,100068.0,5.0,Likes to cooperate with others,101322.0,3.0,Is easily distracted,103325.0,4.0,"Is sophisticated in art, music, or literature",107133.0,2.1,3.0,3.0,4.3,3.1,87,0
aa104182-cf3e-48c6-8b75-d07db11e2b43,2thZwJyiF6KbZqQrCq4F,2026-02-14T17:14:52.950Z,original-gpi,22,Female,Working Professional,UG (Completed),,,,Never,Not at all,,3.26,4.28,4.00,Rajas,,,2.0,,,,,,5.0,,,,,,2.0,,,,,,3.0,,,,,,2.0,,,,,,4.0,,,,,,4.0,,,,,,5.0,,,,,,4.0,,,,,,4.0,,,,2.0,,,2.0,,,2.0,,,4.0,,,3.0,,,4.0,,,5.0,,,4.0,,,5.0,,,2.0,,,5.0,,,5.0,,,5.0,,,2.0,,,2.0,,,3.0,,,2.0,,,2.0,,,4.0,,,5.0,,,4.0,,,4.0,,,2.0,,,4.0,,,4.0,,,2.0,,,4.0,,,1.0,,,4.0,,,2.0,,,4.0,,,4.0,,,5.0,,,4.0,,,3.5,1.6,2.3,3.7,2.8,0,0
77ce4bcd-3fa7-4c08-9961-691809a64a7c,3t3lxd6win1J4bMJKnAO,2026-02-14T05:16:50.160Z,original-gpi,50,Male,Working Professional,PG (Completed),,,,Regular,Somewhat,,4.96,3.32,3.11,Sattva,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,"Is original, comes up with new ideas",,11367.0,,,5.0,Is reserved,,16165.0,,,4.0,Is helpful and unselfish with others,,20482.0,,,4.0,Can be somewhat careless,,25315.0,,,2.0,"Is relaxed, handles stress well",,31632.0,,,5.0,Is curious about many different things,,35864.0,2.0,Is full of energy,37866.0,1.0,Starts quarrels with others,40965.0,4.0,Is a reliable worker,45450.0,4.0,Can be tense,48833.0,4.0,"Is ingenious, a deep thinker",55452.0,2.0,Generates a lot of enthusiasm,61966.0,4.0,Has a forgiving nature,64966.0,4.0,Tends to be disorganized,67882.0,4.0,Worries a lot,70865.0,5.0,Has an active imagination,75783.0,5.0,Tends to be quiet,80366.0,4.0,Is generally trusting,84349.0,4.0,Tends to be lazy,87115.0,2.0,"Is emotionally stable, not easily upset",195499.0,2.0,Is inventive,94550.0,2.0,Has an assertive personality,96998.0,4.0,Can be cold and aloof,101199.0,4.0,Perseveres until the task is finished,107165.0,4.0,Can be moody,109681.0,5.0,"Values artistic, aesthetic experiences",114048.0,5.0,"Is sometimes shy, inhibited",117614.0,4.0,Is considerate and kind to almost everyone,122266.0,2.0,Does things efficiently,125616.0,2.0,Remains calm in tense situations,129382.0,3.0,Prefers work that is routine,135581.0,2.0,"Is outgoing, sociable",139615.0,2.0,Is sometimes rude to others,144315.0,2.0,Makes plans and follows through with them,148248.0,2.0,Gets nervous easily,152831.0,5.0,"Likes to reflect, play with ideas",162730.0,4.0,Has few artistic interests,168148.0,4.0,Likes to cooperate with others,170914.0,4.0,Is easily distracted,173331.0,4.0,"Is sophisticated in art, music, or literature",177048.0,3.5,2.4,1.6,3.9,3.9,0,0
cc20648a-b9bf-4d01-8bc9-422f25407d92,4lbiOXZqoDbRSEdaIuUS,2026-02-15T06:17:28.699Z,original-gpi,21,Male,Homemaker,UG (Pursuing),,,,Rarely,Somewhat,,3.56,3.16,4.00,Tamas,,,4.0,,,,,,4.0,,,,,,3.0,,,,,,3.0,,,,,,4.0,,,,,,3.0,,,,,,4.0,,,,,,4.0,,,,,,3.0,,,,,,4.0,,,,3.0,,,4.0,,,3.0,,,4.0,,,3.0,,,4.0,,,3.0,,,4.0,,,4.0,,,3.0,,,3.0,,,2.0,,,4.0,,,4.0,,,1.0,,,2.0,,,3.0,,,4.0,,,3.0,,,2.0,,,3.0,,,4.0,,,3.0,,,3.0,,,3.0,,,3.0,,,3.0,,,4.0,,,4.0,,,3.0,,,3.0,,,3.0,,,2.0,,,2.0,,,3.3,3.0,3.1,2.9,2.8,0,0
e18a5e9d-1524-4397-bf6d-146bfdd0c2d5,5S57KV5CVWm71Guf3cfQ,2026-02-15T06:47:51.112Z,original-gpi,18,Male,Student,UG (Pursuing),EE,1,10,Never,Somewhat,,4.30,5.20,3.50,Rajas,,,2.0,Is talkative,,4785.0,,,4.0,Tends to find fault with others,,8386.0,,,5.0,Does a thorough job,,13197.0,,,3.0,"Is depressed, blue",,18177.0,,,3.0,"Is original, comes up with new ideas",,21210.0,,,4.0,Is reserved,,37956.0,,,5.0,Is helpful and unselfish with others,,40789.0,,,4.0,Can be somewhat careless,,43885.0,,,4.0,"Is relaxed, handles stress well",,56691.0,,,5.0,Is curious about many different things,,58985.0,3.0,Is full of energy,61520.0,1.0,Starts quarrels with others,68182.0,5.0,Is a reliable worker,69615.0,4.0,Can be tense,71237.0,5.0,"Is ingenious, a deep thinker",73026.0,4.0,Generates a lot of enthusiasm,75827.0,5.0,Has a forgiving nature,77815.0,4.0,Tends to be disorganized,81999.0,4.0,Worries a lot,82899.0,5.0,Has an active imagination,96539.0,5.0,Tends to be quiet,94687.0,2.0,Is generally trusting,109852.0,3.0,Tends to be lazy,105278.0,2.0,"Is emotionally stable, not easily upset",116885.0,5.0,Is inventive,118674.0,3.0,Has an assertive personality,122615.0,4.0,Can be cold and aloof,125180.0,5.0,Perseveres until the task is finished,131909.0,3.0,Can be moody,134064.0,3.0,"Values artistic, aesthetic experiences",138193.0,4.0,"Is sometimes shy, inhibited",140582.0,5.0,Is considerate and kind to almost everyone,141827.0,3.0,Does things efficiently,146127.0,4.0,Remains calm in tense situations,154795.0,3.0,Prefers work that is routine,164905.0,2.0,"Is outgoing, sociable",168517.0,1.0,Is sometimes rude to others,170612.0,3.0,Makes plans and follows through with them,174168.0,4.0,Gets nervous easily,182425.0,4.0,"Likes to reflect, play with ideas",184125.0,2.0,Has few artistic interests,191058.0,5.0,Likes to cooperate with others,193209.0,4.0,Is easily distracted,195332.0,1.0,"Is sophisticated in art, music, or literature",198931.0,3.3,3.3,2.4,4.0,3.8,101,1
b5a8e366-0414-4969-aa70-3026a0b1e994,5ycdKVAL2t6eik5J80HJ,2026-02-12T08:20:47.212Z,,21,Female,Working Professional,High School,,,,Occasional,Somewhat,,3.21,3.06,2.93,Sattva,2.0,,,,,,3.0,,,,,,2.0,,,,,,2.0,,,,,,3.0,,,,,,2.0,,,,,,3.0,,,,,,2.0,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.0,3.0,3.0,3.0,57,0
227819a6-db5d-4470-9506-0a6061aa2c95,67Cr8frFiyI9p9oxmOrn,2026-02-13T03:54:26.720Z,original-gpi,22,Male,Student,UG (Pursuing),Earth Sciences,3,9,Regular,Somewhat,,4.63,4.80,3.39,Rajas,4.0,I see myself as someone who is reserved.,,,10185.0,,5.0,I see myself as someone who is generally trusting.,,,14951.0,,4.0,I see myself as someone who tends to be lazy.,,,18693.0,,5.0,"I see myself as someone who is relaxed, handles stress well.",,,22777.0,,3.0,I see myself as someone who has few artistic interests.,,,26684.0,,2.0,"I see myself as someone who is outgoing, sociable.",,,30319.0,,4.0,I see myself as someone who tends to find fault with others.,,,36158.0,,4.0,I see myself as someone who does a thorough job.,,,40181.0,,2.0,I see myself as someone who gets nervous easily.,,,46754.0,,5.0,I see myself as someone who has an active imagination.,,,50022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.0,2.0,3.5,4.0,102,0
2848bb34-cbbe-4f51-bf84-edb1debaa5e6,6al4pTrPWzIkoAQg6ZG5,2026-02-13T10:53:59.460Z,original-gpi,37,Female,Homemaker,PG (Completed),,,,Regular,Very Familiar,,4.63,3.60,3.00,Sattva,,,4.0,Is talkative,,13843.0,,,4.0,Tends to find fault with others,,16891.0,,,3.0,Does a thorough job,,21416.0,,,2.0,"Is depressed, blue",,26165.0,,,4.0,"Is original, comes up with new ideas",,29681.0,,,5.0,Is reserved,,32613.0,,,5.0,Is helpful and unselfish with others,,35821.0,,,4.0,Can be somewhat careless,,39402.0,,,3.0,"Is relaxed, handles stress well",,43965.0,,,2.0,Is curious about many different things,,48234.0,2.0,Is full of energy,51213.0,2.0,Starts quarrels with others,56879.0,4.0,Is a reliable worker,60356.0,4.0,Can be tense,63266.0,2.0,"Is ingenious, a deep thinker",68182.0,2.0,Generates a lot of enthusiasm,70998.0,5.0,Has a forgiving nature,75058.0,4.0,Tends to be disorganized,77667.0,4.0,Worries a lot,80174.0,4.0,Has an active imagination,83006.0,5.0,Tends to be quiet,85193.0,5.0,Is generally trusting,87802.0,2.0,Tends to be lazy,90328.0,1.0,"Is emotionally stable, not easily upset",95395.0,4.0,Is inventive,97903.0,1.0,Has an assertive personality,100713.0,1.0,Can be cold and aloof,106369.0,4.0,Perseveres until the task is finished,110496.0,4.0,Can be moody,112583.0,4.0,"Values artistic, aesthetic experiences",117486.0,4.0,"Is sometimes shy, inhibited",119263.0,5.0,Is considerate and kind to almost everyone,122855.0,4.0,Does things efficiently,125513.0,2.0,Remains calm in tense situations,130546.0,5.0,Prefers work that is routine,133846.0,4.0,"Is outgoing, sociable",136684.0,1.0,Is sometimes rude to others,139394.0,4.0,Makes plans and follows through with them,142571.0,4.0,Gets nervous easily,145150.0,2.0,"Likes to reflect, play with ideas",150595.0,2.0,Has few artistic interests,153323.0,4.0,Likes to cooperate with others,155849.0,2.0,Is easily distracted,160882.0,4.0,"Is sophisticated in art, music, or literature",165177.0,0.0,0.0,0.0,0.0,0.0,95,0
